episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
185,-0.029222,-0.000062,0.925899,1.321709,1.0081,91.9468,0.00004013,0.048184,2026-04-19T10:43:39.199535
186,-0.121205,-0.000074,0.898746,1.330837,0.3763,121.5142,0.00003993,0.048174,2026-04-19T10:43:56.267565
187,0.046568,-0.000048,0.936742,1.331555,1.7919,54.8153,0.00003973,0.048164,2026-04-19T10:44:10.149796
188,0.094006,-0.000071,0.929871,1.328779,2.0933,27.0845,0.00003952,0.048155,2026-04-19T10:44:24.133787
189,0.159948,-0.000100,0.917197,1.324087,3.0654,8.9918,0.00003932,0.048145,2026-04-19T10:44:36.978475
190,-0.126176,-0.000079,0.904865,1.323827,0.3067,126.1923,0.00003911,0.048135,2026-04-19T10:44:55.876866
191,-0.061339,-0.000079,0.933600,1.321742,0.7703,92.4385,0.00003891,0.048126,2026-04-19T10:45:11.179319
192,0.137870,-0.000051,0.922468,1.317624,2.7969,11.1594,0.00003871,0.048116,2026-04-19T10:45:24.452432
193,-0.105120,-0.000054,0.912694,1.327758,0.4751,111.1220,0.00003850,0.048107,2026-04-19T10:45:40.557805
194,-0.054619,-0.000094,0.930767,1.327428,0.6615,110.0715,0.00003830,0.048097,2026-04-19T10:45:56.037573
195,-0.122500,-0.000032,0.896502,1.330330,0.2942,124.2209,0.00003809,0.048087,2026-04-19T10:46:14.424355
196,-0.086502,-0.000084,0.917141,1.319889,0.5838,111.8358,0.00003789,0.048078,2026-04-19T10:46:30.218185
197,-0.043658,-0.000047,0.913107,1.298403,0.7360,109.1980,0.00003768,0.048068,2026-04-19T10:46:45.599277
198,-0.055084,-0.000062,0.938448,1.303760,0.6214,126.3512,0.00003748,0.048059,2026-04-19T10:47:01.025651
199,0.163621,-0.000032,0.925841,1.282269,3.0200,13.0544,0.00003727,0.048049,2026-04-19T10:47:14.330510
200,-0.031293,-0.000059,0.912127,1.307212,0.8916,104.3199,0.00003706,0.048039,2026-04-19T10:47:29.323106
201,0.063519,-0.000052,0.903380,1.319345,1.8919,39.7942,0.00003686,0.048030,2026-04-19T10:47:43.398855
202,-0.075673,-0.000138,0.913137,1.306822,0.4248,117.5892,0.00003665,0.048020,2026-04-19T10:48:00.278102
203,-0.122321,-0.000084,0.905458,1.289475,0.2387,128.9772,0.00003645,0.048010,2026-04-19T10:48:18.462362
204,-0.051917,-0.000044,0.923749,1.271427,0.7311,117.8349,0.00003624,0.048001,2026-04-19T10:48:33.939908
205,0.208696,-0.000075,0.913574,1.293597,5.2361,1.9327,0.00003603,0.047991,2026-04-19T10:48:46.037261
206,0.203979,-0.000081,0.931323,1.258999,4.7480,2.2185,0.00003583,0.047982,2026-04-19T10:48:58.408570
207,0.216057,-0.000040,0.936176,1.248745,4.8684,2.3944,0.00003562,0.047972,2026-04-19T10:49:10.549597
208,0.215623,-0.000063,0.935119,1.257679,4.6836,2.0721,0.00003541,0.047962,2026-04-19T10:49:22.740824
209,-0.111375,-0.000060,0.887244,1.299097,0.2943,140.3616,0.00003521,0.047953,2026-04-19T10:49:40.718368
210,-0.115107,-0.000121,0.910295,1.283705,0.3067,128.3879,0.00003500,0.047943,2026-04-19T10:49:58.359682
211,-0.108794,-0.000057,0.908971,1.250578,0.3184,129.8364,0.00003479,0.047934,2026-04-19T10:50:16.588387
212,0.202194,-0.000034,0.925357,1.277427,4.8927,2.1027,0.00003459,0.047924,2026-04-19T10:50:28.722483
213,0.206243,-0.000039,0.929990,1.281786,5.0890,1.8196,0.00003438,0.047915,2026-04-19T10:50:40.950657
214,-0.002466,-0.000048,0.924947,1.274702,1.3792,81.0038,0.00003417,0.047905,2026-04-19T10:50:56.161632
215,0.200166,-0.000041,0.931802,1.270580,4.4676,3.0675,0.00003397,0.047895,2026-04-19T10:51:08.611894
216,0.210503,-0.000106,0.918925,1.273123,4.6836,2.0250,0.00003376,0.047886,2026-04-19T10:51:21.022329
217,-0.099167,-0.000100,0.895057,1.268775,0.4041,129.8302,0.00003355,0.047876,2026-04-19T10:51:38.652189
218,0.176345,-0.000088,0.905807,1.245160,3.1128,8.9370,0.00003335,0.047867,2026-04-19T10:51:51.810936
219,-0.127066,-0.000044,0.892610,1.306818,0.2130,143.3326,0.00003314,0.047857,2026-04-19T10:52:10.126497
220,0.168340,-0.000077,0.927717,1.271099,3.0776,11.4553,0.00003294,0.047847,2026-04-19T10:52:23.110579
221,-0.104646,-0.000039,0.907311,1.295809,0.3454,117.8219,0.00003273,0.047838,2026-04-19T10:52:41.000248
222,-0.088739,-0.000049,0.914624,1.291256,0.4615,121.9304,0.00003252,0.047828,2026-04-19T10:52:57.213100
223,-0.035995,-0.000090,0.917480,1.274749,0.8340,102.9417,0.00003232,0.047819,2026-04-19T10:53:12.059195
224,0.020467,-0.000032,0.925203,1.284800,1.4099,90.1306,0.00003211,0.047809,2026-04-19T10:53:26.479877
225,0.188427,-0.000069,0.938568,1.268999,3.3645,6.4071,0.00003191,0.047800,2026-04-19T10:53:39.315328
226,0.200680,-0.000076,0.934252,1.292224,4.0504,4.2084,0.00003170,0.047790,2026-04-19T10:53:51.719618
